promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Legends of WrestleMania Teil II: Die Obsession des Heartbreak Kid,12/2009 , 03/2010,9.87,Comments,Shawn Michaels,The Undertaker,World Wrestling Entertainment
Ring Of Honor,I hate your f***ing guts: Generico vs. Steen,12/2009 , 12/2010,9.87,El Generico,Colt Cabana,Kevin Steen,Steve Corino
World Wrestling Entertainment,Die Abenteuer der SmackDown Six,10/2002 , 12/2002,9.85,Chris Benoit,Kurt Angle,Eddie Guerrero,Chavo Guerrero
Ring Of Honor,Heroes of Honor: Samoa Joe vs. CM Punk,06/2004 , 12/2004,9.85,Samoa Joe,CM Punk,Ring Of Honor,Summary
World Wrestling Entertainment,"Drei Teams, drei Buchstaben, ein Mythos: Hardys vs. E&C vs. Dudleyz",12/1999 , 05/2001,9.78,Comments,Jeff Hardy,Matt Hardy,Lita
World Wrestling Entertainment,Zur Hölle mit ihm: The Undertaker vs. Edge,05/2007 , 08/2008,9.77,Comments,The Undertaker,Edge,Vickie Guerrero
World Wrestling Entertainment,The Worst is yet to come: Michaels vs. Jericho II,04/2008 , 11/2008,9.76,Comments,Shawn Michaels,Chris Jericho,Lance Cade
World Wrestling Entertainment,"Eine Fehde, eine Ära: Austin vs. McMahon",04/1998 , 07/1999,9.75,Comments,Steve Austin,Vince McMahon,Dude Love
Impact Wrestling,Die Glorreichen Drei der X-Division,01/2005 , 04/2006,9.74,AJ Styles,Christopher Daniels,Samoa Joe,Total Nonstop Action Wrestling
World Wrestling Entertainment,Foleys großer Augenblick: Mankind vs. Rock,11/1998 , 03/1999,9.74,Comments,Mankind,The Rock,Vince McMahon
World Wrestling Entertainment,Schatten der Vergangenheit: Undertaker vs. Kane,05/1997 , 12/1998,9.73,Comments,The Undertaker,Kane,Paul Bearer
World Wrestling Entertainment,Chris gegen Chris: Benoit vs. Jericho,03/2000 , 02/2001,9.72,Comments,Chris Jericho,Chris Benoit,World Wrestling Federation
World Wrestling Entertainment,Just say no: Jeff Hardy vs. CM Punk,06/2009 , 08/2009,9.72,Jeff Hardy,Matt Hardy,CM Punk,John Morrison
World Wrestling Entertainment,Die ewige Jagd: Rocky vs. Triple H,04/1999 , 08/2000,9.71,Comments,The Rock,Triple H,Chyna
World Championship Wrestling,Die Jahrhundertfehde: Ric Flair vs. Ricky Steamboat,01/1989 , 05/1989,9.69,Comments,Ric Flair,Ricky Steamboat,NWA World Championship Wrestling
Extreme Championship Wrestling,Sprach der Rabe Nimmermehr: Raven vs. Dreamer,01/1995 , 06/1997,9.68,Comments,Tommy Dreamer,Luna Vachon,Terry Funk
IWA Mid-South,Als Hero auf Punk traf,09/2001 , 03/2003,9.68,Chris Hero,Nadia Nyce,CM Punk,Dave Prazak
Continental Wrestling Association,Comedian gegen Wrestler: Kaufman vs. Lawler,11/1981 , 11/1983,9.66,Andy Kaufman,Jimmy Hart,Jerry Lawler,Continental Wrestling Association
World Wrestling Entertainment,Y2J on Top of the World: Rock vs. Jericho,10/2001 , 01/2002,9.64,Comments,The Rock,Chris Jericho,World Wrestling Federation
World Wrestling Entertainment,Die Bruderfehde: Bret vs. Owen Hart,11/1993 , 03/1995,9.62,Bret Hart,The British Bulldog,Owen Hart,Jim Neidhart
World Wrestling Entertainment,Auf der Leiter des Erfolgs: Razor vs. Michaels,11/1993 , 08/1995,9.62,Razor Ramon,The 1-2-3 Kid,Shawn Michaels,Diesel
Lucha Underground,Tausend Leben und Tausend Tode: Fenix vs. Mil Muertes,10/2014 , 03/2015,9.61,Fenix,Mil Muertes,Catrina,Lucha Underground
World Wrestling Entertainment,Der Crippler erklimmt den Olymp,01/2004 , 04/2004,9.59,Chris Benoit,Triple H,Shawn Michaels,World Wrestling Entertainment
Ring Of Honor,Krieg der Lebenswelten: Raven vs. Punk,02/2003 , 11/2003,9.58,Comments,Raven,Tommy Dreamer,Terry Funk
World Wrestling Entertainment,Ein unerwünschter Erlösungsversuch: Mysterio vs. Jericho,05/2009 , 07/2009,9.55,Comments,Rey Mysterio,Chris Jericho,World Wrestling Entertainment
World Wrestling Entertainment,Die Geburt der Attitude-Ära: Austin gegen die Hart Foundation,09/1996 , 11/1997,9.54,Comments,Steve Austin,Bret Hart,Owen Hart
World Wrestling Entertainment,Das Comeback des Showstoppers: Michaels vs. Triple H,07/2002 , 06/2004,9.52,Comments,Shawn Michaels,Triple H,Ric Flair
World Wrestling Entertainment,"Der Geist, den er rief: Cactus Jack vs. Triple H",08/1999 , 04/2000,9.49,Comments,Cactus Jack,Mick Foley,Mankind
Ring Of Honor,Aus zwei mach eins: Danielson vs. McGuinness,04/2006 , 08/2006,9.49,Bryan Danielson,Nigel McGuinness,Ring Of Honor,Summary
Ring Of Honor,Schlange bleibt Schlange: CM Punks spektakulärer Abgang,06/2005 , 08/2005,9.48,Comments,CM Punk,Christopher Daniels,James Gibson
World Class Wrestling Association,Dauerkrieg im Lone Star State: Freebirds vs. Von Erichs,12/1982 , 09/1984,9.45,Kerry von Erich,Kevin von Erich,David von Erich,Mike von Erich
World Wrestling Entertainment,Legends Of WrestleMania: Taker vs. Michaels 09,02/2009 , 04/2009,9.44,The Undertaker,Shawn Michaels,Vladimir Kozlov,World Wrestling Entertainment
Ring Of Honor,Wenn Liebe blind macht: Die Jacobs-Whitmer-Saga,01/2006 , 03/2007,9.41,Comments,BJ Whitmer,Colt Cabana,Daizee Haze
World Wrestling Entertainment,Das Tier beendet die Evolution: Batista vs. Triple H,11/2004 , 06/2005,9.37,Comments,Batista,Triple H,Ric Flair
World Championship Wrestling,Chris Jericho - Mann der 1004 Moves,02/1998 , 08/1998,9.36,Comments,Chris Jericho,Lenny Lane,Dean Malenko
World Wrestling Entertainment,"Feinde, Freunde und zurück: Lesnar vs. Angle",10/2002 , 11/2003,9.34,Brock Lesnar,Vince McMahon,Kurt Angle,Paul Heyman
Impact Wrestling,AJ Styles & Christopher Daniels vs. LAX,07/2006 , 10/2006,9.33,AJ Styles,Christopher Daniels,Konnan,Homicide
Impact Wrestling,"Vier Männer, fünf Showstehler: Machine Guns vs. Beer Money",07/2010 , 08/2010,9.33,Alex Shelley,Chris Sabin,James Storm,Robert Roode
CHIKARA,Die Geschichte des Eye of Tyr,08/2009 , 11/2011,9.33,Hallowicked,Crossbones,Frightmare,Ares
Extreme Championship Wrestling,Family Values: Raven vs. The Sandman,12/1995 , 05/1997,9.3,Missy Hyatt,Raven,Stevie Richards,Tyler Fullington
World Wrestling Entertainment,Die Abschiedstour des Nature Boy,11/2007 , 03/2008,9.26,Comments,Ric Flair,Vince McMahon,Randy Orton
Ring Of Honor,Härtetest aus Fernost: Danielson vs. KENTA,03/2006 , 09/2006,9.25,Bryan Danielson,KENTA,Ring Of Honor,Summary
World Wrestling Entertainment,"Sex, Money & Fame: Edge gegen John Cena",01/2006 , 10/2006,9.24,Comments,John Cena,Edge,Lita
World Wrestling Entertainment,Sunnyboy auf der dunklen Seite: Undertaker vs. Michaels,08/1997 , 01/1998,9.24,Comments,The Undertaker,Shawn Michaels,Rick Rude
World Wrestling Entertainment,I am better than you: Matt Hardy vs. MVP,07/2007 , 05/2008,9.17,Comments,Matt Hardy,Montel Vontavious Porter,World Wrestling Entertainment
World Wrestling Entertainment,Das Ende einer Ära: Undertaker vs. Triple H 2012,01/2012 , 04/2012,9.16,The Undertaker,Triple H,Shawn Michaels,World Wrestling Entertainment
World Wrestling Entertainment,Gar nicht wundervoll: Hogan vs. Orndorff,06/1986 , 12/1986,9.14,Hulk Hogan,Paul Orndorff,Bobby Heenan,Adrian Adonis
Lucha Underground,"Erfolg schweißt zusammen: Angelico, Ivelisse & Son Of Havoc vs. The Crew & Dario Cueto",02/2015 , 03/2015,9.14,Angelico,Ivelisse,Son Of Havoc,Cortez Castro
World Wrestling Entertainment,Legend Killer Goes Hardcore: Orton vs. Foley,12/2003 , 05/2004,9.12,Comments,Mick Foley,Cactus Jack,The Rock
World Wrestling Entertainment,Mr. WrestleMania auf dem Prüfstand: Shawn Michaels vs. Kurt Angle,01/2005 , 10/2005,9.11,Comments,Shawn Michaels,Marty Jannetty,Kurt Angle
World Wrestling Entertainment,Wrestlingmaschinen im Wettstreit: Benoit vs. Angle,03/2001 , 06/2001,9.11,Chris Benoit,Kurt Angle,Edge,Christian
World Wrestling Entertainment,Mick Foley vs. Edge,02/2006 , 04/2006,9.06,Comments,Mick Foley,Edge,Lita
World Wrestling Entertainment,"Trish und Mickie: Weiblich, ledig, jung, sucht...",10/2005 , 06/2006,9.05,Comments,Mickie James,Trish Stratus,Ashley
World Wrestling Entertainment,Die Klapperschlange und der Sensenmann: Austin vs. Undertaker,06/1998 , 07/1999,9.05,Steve Austin,The Undertaker,Paul Bearer,Kane
World Wrestling Entertainment,Ricky Steamboat vs. Randy Savage,10/1986 , 03/1987,9.03,Ricky Steamboat,Bruno Sammartino,Randy Savage,World Wrestling Federation
Impact Wrestling,Ein Cage-Klassiker und seine Vorgeschichte: AMW vs. Triple X,01/2003 , 12/2004,9.03,Chris Harris,James Storm,Christopher Daniels,Primetime
Ring Of Honor,Wer stoppt Morishima?,04/2007 , 12/2008,9.0,Takeshi Morishima,Nigel McGuinness,Bryan Danielson,Ring Of Honor
World Championship Wrestling,Zwei Brüder gegen die Invasion: Steiner Brothers vs. Outsiders,01/1997 , 02/1998,9.0,Scott Steiner,Rick Steiner,Ted DiBiase,Kevin Nash
World Wrestling Entertainment,Die Klapperschlange gegen den Brahmabullen: Austin vs. Rock,11/1998 , 04/1999,8.97,Comments,Steve Austin,The Rock,World Wrestling Federation
World Wrestling Entertainment,Der Trickser und der Moralist: Eddie vs. Angle,02/2004 , 11/2004,8.97,Eddie Guerrero,Kurt Angle,Luther Reigns,Mark Jindrak
World Wrestling Entertainment,Hulk Hogans größte Herausforderung,01/1987 , 08/1988,8.91,Comments,Hulk Hogan,Randy Savage,Miss Elizabeth
Extreme Championship Wrestling,Eine Frage des Respekts: Rob Van Dam vs. Sabu,04/1996 , 09/1996,8.9,Sabu,Rob Van Dam,Bill Alfonso,Extreme Championship Wrestling
Extreme Championship Wrestling,Lawler im Land der Extremen: ECW vs. Team WWF,02/1997 , 12/1997,8.9,Comments,Tommy Dreamer,The Sandman,Paul Heyman
Ring Of Honor,Wenn Liebe Hass sät: Aries vs. Jacobs,03/2008 , 12/2008,8.9,Lacey,Jimmy Jacobs,Tyler Black,Allison Wonderland
World Championship Wrestling,Die WCW bekommt ihren People's Champion: Diamond Dallas Page vs. Randy Savage,01/1997 , 10/1997,8.9,Comments,Diamond Dallas Page,Kimberly Page,Randy Savage
Impact Wrestling,Kim - Kong erobert Orlando,09/2007 , 05/2008,8.88,Gail Kim,ODB,Awesome Kong,Amazing Kong
Ring Of Honor,"Man Up, Boys: Briscoes vs. Steen-erico",02/2007 , 09/2007,8.87,Jay Briscoe,Mark Briscoe,Kevin Steen,El Generico
World Wrestling Entertainment,Der Tod und das Tier: Undertaker vs. Batista,01/2007 , 12/2007,8.86,Comments,The Undertaker,Batista,World Wrestling Entertainment
World Wrestling Entertainment,Let The Game begin: Austin vs. Triple H,07/1999 , 02/2001,8.83,Comments,Steve Austin,Triple H,World Wrestling Federation
World Wrestling Entertainment,Die Invasion der Rookies: Cena vs. Nexus,06/2010 , 12/2010,8.83,Comments,John Cena,Bret Hart,John Morrison
Ohio Valley Wrestling,You Got Punk'd: CM Punk vs. Brent Albright,10/2005 , 05/2006,8.82,CM Punk,Brent Albright,Ken Doane,Ohio Valley Wrestling
Extreme Championship Wrestling,Ein Phänomen nimmt seinen Lauf: Dreamer vs. Sandman,07/1994 , 12/1994,8.82,Tommy Dreamer,The Sandman,Woman,Tommy Cairo
World Wrestling Entertainment,Die Vorgeschichte von Montreal: Hart vs. Michaels,03/1996 , 11/1997,8.82,Comments,Bret Hart,Shawn Michaels,World Wrestling Federation
Extreme Championship Wrestling,Auf Augenhöhe: Eddie Guerrero vs. Dean Malenko,04/1995 , 08/1995,8.8,Eddie Guerrero,Dean Malenko,Extreme Championship Wrestling,Summary
Extreme Championship Wrestling,Rivalen auf Lebenszeit: Mike Awesome vs. Masato Tanaka,09/1999 , 04/2000,8.75,Mike Awesome,Jeff Jones,Masato Tanaka,Taz
World Wrestling Entertainment,The Games kleiner Makel: Undertaker vs. Triple H,02/2001 , 04/2001,8.69,Comments,The Undertaker,Kane,Triple H
Ring Of Honor,Beharrlichkeit zahlt sich aus: Sydal vs. Daniels,10/2005 , 07/2006,8.67,Matt Sydal,Christopher Daniels,Ring Of Honor,Summary
World Wrestling Entertainment,Ein Phänomen erobert die große Bühne: Daniel Bryan vs. The Miz,02/2010 , 10/2010,8.64,Comments,Daniel Bryan,The Miz,Alex Riley
Ring Of Honor,Ligenkrieg in Philly: ROH vs. CZW,01/2006 , 07/2006,8.57,Comments,Jim Cornette,Samoa Joe,BJ Whitmer
Impact Wrestling,Eine Ehekrise und ihre blutigen Folgen: Styles vs. Angle,05/2008 , 09/2008,8.57,AJ Styles,Karen Angle,Kurt Angle,Tomko
Extreme Championship Wrestling,Cactus Jack vs. The Sandman,12/1994 , 07/1995,8.57,The Sandman,Terry Funk,Woman,DC Drake
World Wrestling Entertainment,The Age Of Orton,07/2007 , 06/2008,8.56,Comments,Randy Orton,John Cena,Mr. Cena
World Wrestling Entertainment,Trish vs. Lita - der letzte Akt,08/2006 , 09/2006,8.56,Trish Stratus,Lita,World Wrestling Entertainment,Summary
World Championship Wrestling,Der Texaner greift nochmal an: Ric Flair vs. Terry Funk,05/1989 , 11/1989,8.52,Ric Flair,Sting,Terry Funk,Gary Hart
World Wrestling Entertainment,Die Ministry greift nach der Macht,12/1998 , 05/1999,8.5,Comments,The Undertaker,Paul Bearer,Faarooq
World Championship Wrestling,Nach eigenen Regeln: Raven vs. Benoit vs. DDP,11/1997 , 05/1998,8.5,Raven,Saturn,Kidman,Lodi
Ring Of Honor,Turbulenzen hoch fünf: Danielson vs. Homicide,11/2004 , 05/2005,8.5,Bryan Danielson,Homicide,Low Ki,Julius Smokes
Lucha Underground,Von gefährdeten Freundschaften und Ärger mit dem Chef: Dario Cueto & The Crew vs. Johnny Mundo vs. Prince Puma,09/2014 , 10/2014,8.5,Comments,Dario Cueto,Big Ryck,Cortez Castro
Lucha Underground,Zwei Freunde und eine alles verändernde Chance: Aero Star vs. Drago,01/2015 , 02/2015,8.5,Drago,Prince Puma,Lucha Underground,Summary
World Wrestling Entertainment,My Angel is a Centerfold? Randy Savage vs. Ric Flair,02/1992 , 11/1992,8.48,Miss Elizabeth,Mr. Perfect,Ric Flair,Razor Ramon
World Wrestling Entertainment,Opportunist und Traumzerstörer: Jeff Hardy vs. Edge,11/2008 , 06/2009,8.47,Comments,Jeff Hardy,Edge,Vickie Guerrero
World Wrestling Entertainment,Die Garantie des Börsengurus: Eddie Guerrero vs. JBL,03/2004 , 12/2004,8.46,Comments,Eddie Guerrero,John Bradshaw Layfield,World Wrestling Entertainment
World Wrestling Entertainment,Das Austin Rock Da Capo,02/2003 , 03/2003,8.44,Comments,Steve Austin,The Rock,World Wrestling Entertainment
World Wrestling Entertainment,Hulk Hogans ultimative Herausforderung,01/1990 , 04/1990,8.43,Comments,Hulk Hogan,The Ultimate Warrior,World Wrestling Federation
World Wrestling Entertainment,Kein Respekt fürs alte Idol: Michaels vs. Jericho,12/2002 , 04/2003,8.42,Shawn Michaels,Chris Jericho,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Die Rockers fallen in Scherben: Michaels vs. Jannetty,01/1992 , 07/1993,8.41,Marty Jannetty,Sensational Sherri,Shawn Michaels,Diesel
Lucha Underground,"Große Namen, noch größere Egos: Alberto El Patron vs. Johnny Mundo",02/2015 , 04/2015,8.4,Alberto El Patron,Johnny Mundo,Melina,Lucha Underground
World Wrestling Entertainment,Wo die Liebe hinfällt: Jericho vs. Christian,11/2003 , 09/2004,8.38,Comments,Chris Jericho,Christian,Trish Stratus
World Championship Wrestling,Identität in Gefahr: Rey Misterio Jr. vs. Eddie Guerrero,09/1997 , 12/1997,8.38,Rey Misterio Jr.,Eddie Guerrero,World Championship Wrestling,Summary
World Wrestling Entertainment,Die Erben der Attitude-Ära: Cena vs. Batista,01/2010 , 05/2010,8.38,Comments,John Cena,Mark Henry,Batista
World Wrestling Entertainment,Best in the World - Part Two: Jericho vs. Punk II,05/2013 , 06/2013,8.36,Comments,Chris Jericho,CM Punk,Paul Heyman
Impact Wrestling,TNA's Traumpaarung: Kurt Angle vs. Samoa Joe,10/2006 , 04/2008,8.35,Kurt Angle,Karen Angle,Samoa Joe,Total Nonstop Action Wrestling
World Wrestling Entertainment,Jeff Hardy schnuppert an der Spitze,11/2007 , 01/2008,8.27,Jeff Hardy,Triple H,Randy Orton,World Wrestling Entertainment
World Wrestling Entertainment,Der Legendentöter und der Totengräber,02/2005 , 12/2005,8.25,The Undertaker,Randy Orton,Bob Orton,World Wrestling Entertainment
World Wrestling Entertainment,Die Austin-McMahon-Verbrüderung,02/2001 , 04/2001,8.25,The Rock,Steve Austin,Vince McMahon,World Wrestling Federation
World Wrestling Entertainment,"Die Schlacht um die Hardcore-Hoheit: Foley, Edge und die ECW",05/2006 , 06/2006,8.23,Comments,Tommy Dreamer,Terry Funk,Beulah
Impact Wrestling,Raven gegen die New Church,06/2003 , 11/2003,8.19,Comments,Raven,CM Punk,Julio Dinero
World Championship Wrestling,"Benoit, Booker und die Glückszahl Sieben",03/1998 , 06/1998,8.18,Booker T,Fit Finlay,World Championship Wrestling,Summary
Ring Of Honor,Die verschmähte Gesellschaft schlägt zurück: Briscoes vs. Age Of The Fall,09/2007 , 09/2008,8.18,Comments,Jay Briscoe,Mark Briscoe,Daizee Haze
World Wrestling Entertainment,Der Kampf der Könige: Hart vs. Lawler,06/1993 , 09/1995,8.17,Comments,Bret Hart,Owen Hart,Bruce Hart
Ring Of Honor,Castagnoli vs. Sweet 'n' Sour,12/2006 , 04/2008,8.17,Claudio Castagnoli,Larry Sweeney,Chris Hero,Matt Sydal
Ring Of Honor,Ein süßsaurer Störfaktor: McGuinness vs. Hero,03/2007 , 01/2008,8.17,Comments,Nigel McGuinness,Chris Hero,Larry Sweeney
World Championship Wrestling,High Noon in der WCW: Hogan vs. Sting,07/1996 , 03/1998,8.14,Comments,Sting,Hollywood Hogan,Hulk Hogan
Impact Wrestling,Auch Monster haben Ängste: Sabu vs. Abyss,08/2005 , 12/2005,8.14,Sabu,Abyss,James Mitchell,Total Nonstop Action Wrestling
World Wrestling Entertainment,Verkaufte Ehre: Luger vs. Tatanka,07/1994 , 02/1995,8.14,Comments,Lex Luger,Tatanka,Ted DiBiase
Impact Wrestling,Sting gegen Planet Jarrett,12/2005 , 10/2006,8.12,Comments,Sting,Samoa Joe,Jeff Jarrett
World Wrestling Entertainment,Vier Jungstars erklimmen die Leiter: Edge & Christian vs. The Hardy Boyz,06/1999 , 10/1999,8.12,Edge,Christian,Jeff Hardy,Matt Hardy
Ring Of Honor,Homicides Jagd auf den ROH World Title,06/2006 , 12/2006,8.09,Homicide,Julius Smokes,Ricky Reyes,Konnan
Impact Wrestling,Kevin Nash gegen die X-Division,05/2006 , 08/2006,8.08,Comments,Chris Sabin,Sonjay Dutt,Jay Lethal
World Wrestling Entertainment,WrestleMania Begins: Hulk Hogan & Mr. T vs. Roddy Piper,12/1984 , 04/1986,8.08,Hulk Hogan,Mr. T,Paul Orndorff,Roddy Piper
World Wrestling Entertainment,Hogan und Rock: Der Kampf der Ikonen,02/2002 , 03/2002,8.06,Comments,The Rock,Hulk Hogan,Hollywood Hogan
World Wrestling Entertainment,Wenn der Tod beim Deadman plündert: Undertaker vs. Punk II,03/2013 , 04/2013,8.06,Comments,Undertaker,Kane,CM Punk
World Wrestling Entertainment,"A new day, already? DX vs. Legacy",07/2009 , 10/2009,8.05,Comments,Triple H,Shawn Michaels,Cody Rhodes
Impact Wrestling,Der mit dem Wolf tanzt: Desmond Wolfe vs. Kurt Angle,10/2009 , 12/2009,8.05,Comments,Desmond Wolfe,Kurt Angle,Total Nonstop Action Wrestling
Ohio Valley Wrestling,Die Explosion der Thrillseekers,07/2005 , 12/2005,8.0,Matt Cappotelli,Danny Davis,Johnny Jeter,Ken Anderson
World Wrestling Entertainment,Eine Männerfreundschaft zerbricht: Diesel vs. Michaels,11/1994 , 04/1995,8.0,Diesel,Shawn Michaels,Sid,World Wrestling Federation
Impact Wrestling,Pioniere der X-Division: AJ Styles vs. Jerry Lynn,06/2002 , 12/2002,8.0,AJ Styles,Sonny Siaki,Mortimer Plumtree,Jerry Lynn
CHIKARA,Zwei Wolkenkratzer im Duell: Brodie Lee vs. Claudio Castagnoli,04/2008 , 09/2008,8.0,Brodie Lee,Claudio Castagnoli,CHIKARA,Summary
World Wrestling Entertainment,Der bleiche Bully und der weiße Ritter: Morrison vs. Sheamus,10/2010 , 01/2011,7.96,John Morrison,Santino Marella,Vladimir Kozlov,Sheamus
World Wrestling Entertainment,Bob Backlund knallt durch,07/1994 , 04/1995,7.95,Bret Hart,British Bulldog,Bob Backlund,Owen Hart
Westside Xtreme Wrestling,Vier Schwergewichte lassen's krachen: HCCC vs. GTS & Iceman,06/2005 , 04/2006,7.94,Adam Polak,Baron von Hagen,GTS,Iceman
Ring Of Honor,Was Klopapier anrichten kann: Rave vs. McGuinness,10/2006 , 03/2007,7.94,Nigel McGuinness,Jimmy Rave,Ring Of Honor,Summary
World Wrestling Entertainment,Die Explosion der Mega Powers,12/1988 , 02/1990,7.9,Hulk Hogan,Miss Elizabeth,Brutus Beefcake,Randy Savage
World Wrestling Entertainment,Die Reinheit der Haare: Rey Mysterio vs. CM Punk,02/2010 , 06/2010,7.88,Comments,Rey Mysterio,CM Punk,Luke Gallows
World Wrestling Entertainment,British Bulldogs vs. Hart Foundation,01/1987 , 08/1987,7.87,Davey Boy Smith,The Dynamite Kid,Tito Santana,Bret Hart
Impact Wrestling,"Bier, Geld, Gürtel und Gold: LAX vs. Beer Money Inc.",06/2008 , 01/2009,7.87,Homicide,Hernandez,Hector Guerrero,Salinas
World Wrestling Entertainment,"Jericho, die Legenden und die Wiedergeburt des Drachen",01/2009 , 04/2009,7.87,Comments,Ric Flair,Ricky Steamboat,Roddy Piper
World Championship Wrestling,Lost in Cleveland: Cactus Jack vs. Vader,01/1993 , 11/1993,7.86,Cactus Jack,Vader,Big Van Vader,Harley Race
Extreme Championship Wrestling,Pay your Bills: The Sandman vs. Tommy Cairo,01/1994 , 07/1994,7.86,The Sandman,Woman,Tommy Cairo,Peaches
Impact Wrestling,Ein seltsames Paar und seine Probleme: Joe vs. Nash,10/2008 , 05/2009,7.85,Comments,Samoa Joe,Kevin Nash,Total Nonstop Action Wrestling
World Wrestling Entertainment,Dreamers Traum wird wahr,04/2009 , 08/2009,7.82,Comments,Tommy Dreamer,Christian,Jack Swagger
Impact Wrestling,Samoa Joe vs. Christian Cage,02/2007 , 10/2007,7.81,Junior Fatu,Christian Cage,Tomko,AJ Styles
World Wrestling Entertainment,Once in a Lifetime: The Rock vs. John Cena,02/2011 , 04/2012,7.81,Comments,The Rock,John Cena,World Wrestling Entertainment
World Wrestling Entertainment,Im Namen des Nature Boy: Michaels vs. Batista,04/2008 , 06/2008,7.8,Shawn Michaels,Batista,Chris Jericho,World Wrestling Entertainment
World Championship Wrestling,Don't Blame Canada: Lance Storm als Dreifach-Champ,06/2000 , 08/2000,7.79,Lance Storm,Jacques Rougeau,Carl Ouellet,Elix Skipper
Impact Wrestling,Generationskonflikt im großen Stil: Main Event Mafia vs. TNA Frontline,10/2008 , 10/2009,7.77,Comments,Kurt Angle,Kevin Nash,Samoa Joe
World Wrestling Entertainment,Blitz-Aufstieg mit Augenzwinkern: Mysterio vs. Del Rio,08/2010 , 01/2011,7.77,Comments,Rey Mysterio,Alberto Del Rio,Ricardo Rodriguez
