promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
Impact Wrestling,X-Division Gets Punk'd: Styles vs. Moore,12/2005 , 03/2006,4.62,Shannon Moore,Total Nonstop Action Wrestling,Summary,(?)
World Wrestling Entertainment,Randy Orton vs. Kane,02/2012 , 05/2012,4.59,Comments,Randy Orton,Kane,World Wrestling Entertainment
World Wrestling Entertainment,Des Keltenkriegers Krönung: Cena vs. Sheamus,11/2009 , 07/2010,4.58,Comments,John Cena,Sheamus,World Wrestling Entertainment
World Wrestling Entertainment,Die erste Hürde für den schweizer Champion: Antonio Cesaro vs. R-Truth,10/2012 , 12/2012,4.58,Antonio Cesaro,R-Truth,World Wrestling Entertainment,Summary
World Championship Wrestling,Ein Haufen Verräter und ein Schauspieler als World Champ: DDP vs. New Blood,03/2000 , 06/2000,4.57,Diamond Dallas Page,Eric Bischoff,Jeff Jarrett,Mike Awesome
World Wrestling Entertainment,Brit-Power in der Damen-Division: Mickie vs. Katie,05/2008 , 08/2008,4.56,Katie Lea,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Kofi und die Langfinger,07/2009 , 10/2009,4.56,Kofi Kingston,The Miz,Jack Swagger,World Wrestling Entertainment
World Wrestling Entertainment,Mickie vs. Maryse,05/2009 , 07/2009,4.56,Maryse,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Die unerfüllte Mission: DX vs. Jeri-Show,10/2009 , 01/2010,4.56,Comments,Triple H,Shawn Michaels,Hornswoggle
World Wrestling Entertainment,Familia hält zusammen: Rey Mysterio vs. Edge,01/2008 , 02/2008,4.54,Rey Mysterio,Edge,Vickie Guerrero,Curt Hawkins
World Wrestling Entertainment,Gekränkte Kriegerehre: Shelton vs. Sheamus,09/2009 , 10/2009,4.5,Shelton Benjamin,Sheamus,World Wrestling Entertainment,Summary
World Wrestling Entertainment,It's not right if it's not White: Shelton Benjamin vs. Kerwin White,08/2005 , 11/2005,4.5,Shelton Benjamin,Val Venis,Kerwin White,Nick Nemeth
World Wrestling Entertainment,Undertaker vs. Heidenreich,10/2004 , 01/2005,4.48,Comments,The Undertaker,Heidenreich,Paul Heyman
World Wrestling Entertainment,Das Tier gegen den Riesen: Batista vs. Khali,07/2007 , 10/2007,4.45,Batista,Ric Flair,The Great Khali,Ranjin Singh
World Wrestling Entertainment,Dolph und Vickie: Die Zusammenkunft,04/2010 , 06/2010,4.43,Vickie Guerrero,Chavo Guerrero,Christian,Hornswoggle
World Wrestling Entertainment,Ein Kommentator im Größenwahn: Lawler vs. Cole,11/2010 , 05/2011,4.43,Comments,Jerry Lawler,Jim Ross,Steve Austin
World Wrestling Entertainment,Paul Bearers schockierendes Ende: Undertaker vs. Dudley Boyz,03/2004 , 06/2004,4.41,Comments,The Undertaker,Paul Bearer,Paul Heyman
World Wrestling Entertainment,Der Partyschreck: R-Truth vs. McIntyre,08/2009 , 10/2009,4.4,Drew McIntyre,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Kane vs. King Booker,01/2007 , 02/2007,4.38,Comments,Kane,King Booker,Queen Sharmell
World Wrestling Entertainment,Ein Redneck und ein Punk auf Titeljagd: Miz & Morrison vs. Yang & Moore,11/2007 , 05/2008,4.38,Jimmy Wang Yang,Shannon Moore,John Morrison,The Miz
World Wrestling Entertainment,Cryme Tyme vs. Rhodes & DiBiase,07/2008 , 09/2008,4.38,Shad,Cody Rhodes,Ted DiBiase,Manu
World Wrestling Entertainment,"Ein Plan, der über Leichen geht: Edge vs. Kane 2010",10/2010 , 01/2011,4.37,Edge,Kane,Paul Bearer,World Wrestling Entertainment
World Wrestling Entertainment,"Günstlingswirtschaft, die Zweite: Kofi vs. Ziggler",06/2010 , 01/2011,4.36,Kofi Kingston,Dolph Ziggler,Vickie Guerrero,Jack Swagger
World Wrestling Entertainment,Cena zwischen alten Feinden,02/2009 , 06/2009,4.35,Comments,John Cena,Edge,Vickie Guerrero
Lucha Underground,"Ein Krieg, der in Mexiko begann: Alberto El Patron vs. Texano",01/2015 , 01/2015,4.33,Alberto El Patron,Texano,Lucha Underground,Summary
Impact Wrestling,Freiheit für Eric: Roode vs. Young,11/2006 , 08/2007,4.31,Eric Young,Petey Williams,Jeff Jarrett,Gail Kim
World Wrestling Entertainment,Der neue Kopf der Hydra: Cena vs. New Nexus,12/2010 , 02/2011,4.29,Comments,John Cena,CM Punk,David Otunga
World Wrestling Entertainment,Alter Hass rostet nicht: Triple H vs. Vince McMahon,08/2007 , 01/2008,4.27,Triple H,Vince McMahon,Carlito,Umaga
Impact Wrestling,Ein Unparteiischer setzt sich zur Wehr: Sewell vs. Bashir,09/2008 , 02/2009,4.17,Shane Sewell,Abdul Bashir,Total Nonstop Action Wrestling,Summary
World Wrestling Entertainment,Eine bösartige Drohung: Finlay vs. Mark Henry,10/2008 , 12/2008,4.17,Hornswoggle,Mark Henry,Tony Atlas,World Wrestling Entertainment
World Wrestling Entertainment,Rey schickt JBL in Rente,04/2006 , 05/2006,4.14,Chavo Guerrero,Bobby Lashley,John Bradshaw Layfield,Mark Henry
Impact Wrestling,Der Pope und der Mystery-Man: Suicide vs. Dinero,08/2009 , 10/2009,4.14,Suicide,D'Angelo Dinero,Total Nonstop Action Wrestling,Summary
World Wrestling Entertainment,Der Opportunist kommt nicht aus seiner Haut: Orton vs. Edge,04/2010 , 07/2010,4.14,Randy Orton,Edge,Vickie Guerrero,Christian
World Wrestling Entertainment,Die letzte Fahrt mit Diesel-Motor: Nash vs. Hunter,04/2003 , 08/2003,4.11,Kevin Nash,Shawn Michaels,Triple H,Chris Jericho
World Wrestling Entertainment,Eine Frage von Sekunden: Chris Benoit vs. Orlando Jordan,07/2005 , 10/2005,4.11,Chris Benoit,Orlando Jordan,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Höhere Gerechtigkeit: Hulk Hogan vs. Sid Justice,01/1992 , 04/1992,4.08,Hulk Hogan,The Ultimate Warrior,Sid Justice,Harvey Wippleman
World Wrestling Entertainment,Victorias Liste,11/2006 , 01/2007,4.07,Mickie James,Maria,Torrie Wilson,Lilian Garcia
World Wrestling Entertainment,Jake Roberts und Bad News Browns Kanalratten,04/1990 , 08/1990,4.0,Jake Roberts,Bad News Brown,World Wrestling Federation,Summary
World Championship Wrestling,Goldberg vs. Bigelow,11/1998 , 02/1999,4.0,Goldberg,Bam Bam Bigelow,World Championship Wrestling,Summary
World Wrestling Entertainment,Kane vs. Chavo,03/2008 , 05/2008,4.0,Chavo Guerrero,Bam Neely,World Wrestling Entertainment,Notes
Impact Wrestling,Taylor und ihr Traumritt: Wilde vs. Awesome Kong,05/2008 , 11/2008,4.0,Taylor Wilde,Awesome Kong,Raisha Saeed,Total Nonstop Action Wrestling
World Wrestling Entertainment,Bedrohung aus der Südsee: Undertaker & Kane vs. Rikishi & Haku,01/2001 , 03/2001,4.0,The Undertaker,Kane,Rikishi,Haku
Impact Wrestling,Die 3 Live Kru fällt auseinander,06/2005 , 04/2006,3.97,BG James,Kip James,The Outlaw,Bob Armstrong
World Wrestling Entertainment,Politur für verblassten Glanz: Punk vs. Regal,12/2008 , 02/2009,3.93,CM Punk,William Regal,Layla,World Wrestling Entertainment
World Wrestling Entertainment,Die Ankunft des jungen Rhodes,07/2007 , 07/2007,3.86,Cody Rhodes,Dusty Rhodes,Randy Orton,World Wrestling Entertainment
World Championship Wrestling,Der beste Freund wird zum Feind: Hulk Hogan vs. The Three Faces Of Fear,08/1994 , 03/1995,3.86,Hulk Hogan,Randy Savage,Sting,Dave Sullivan
Impact Wrestling,Der Franchise pocht auf sein Recht: Daniels vs. Douglas,05/2009 , 06/2009,3.83,AJ Styles,Shane Douglas,Total Nonstop Action Wrestling,Summary
World Wrestling Entertainment,Abgesang mit dem Animal: Batista vs. JBL,06/2005 , 09/2005,3.81,Batista,John Bradshaw Layfield,Orlando Jordan,World Wrestling Entertainment
World Wrestling Entertainment,Mega Maniacs vs. Money Inc.,02/1993 , 04/1993,3.81,Hulk Hogan,Brutus Beefcake,Jimmy Hart,Ted DiBiase
World Wrestling Entertainment,Die Unbezahlbaren gegen die Altvorderen: DiBiase/Rhodes vs. Duggan/Lawler,07/2008 , 08/2008,3.74,Ted DiBiase,Cody Rhodes,Jim Duggan,Jerry Lawler
World Wrestling Entertainment,Kollision der Lebenswege: MVP vs. Swagger,07/2009 , 08/2009,3.73,Comments,Montel Vontavious Porter,Jack Swagger,World Wrestling Entertainment
Impact Wrestling,Frau Gouverneurin beliebt zu scherzen,11/2008 , 03/2009,3.71,Taylor Wilde,Roxxi,Angelina Love,Velvet Sky
World Wrestling Entertainment,Bodyguards mit größeren Plänen: Diesel vs. Sid,04/1995 , 07/1995,3.71,Diesel,Bam Bam Bigelow,Sid,Ted DiBiase
World Wrestling Entertainment,Cäsars verhinderte Erben: Der Feldzug des Corre,01/2011 , 05/2011,3.69,The Big Show,Kane,Santino Marella,Vladimir Kozlov
World Wrestling Entertainment,Rey & RVD vs. Dupree & Kenzo,08/2004 , 12/2004,3.68,Rob Van Dam,Rey Mysterio,Torrie Wilson,Kenzo Suzuki
World Wrestling Entertainment,Die Wiederkehr des Wrestlinggotts: Jericho vs. JBL,12/2007 , 02/2008,3.67,Comments,Chris Jericho,John Bradshaw Layfield,World Wrestling Entertainment
Impact Wrestling,Ein Abgedrehter will es nochmal wissen: Backlund vs. Machine Guns,04/2007 , 07/2007,3.67,Bob Backlund,Jerry Lynn,Alex Shelley,Chris Sabin
Impact Wrestling,Die erste Hürde für den Boss: Lashley vs. Rhino,08/2009 , 10/2009,3.67,Rhino,Total Nonstop Action Wrestling,Summary,(?)
World Wrestling Entertainment,Der Schwachpunkt eines Monsters: Khali vs. Kane,06/2009 , 09/2009,3.65,Comments,The Great Khali,Ranjin Singh,Kane
Impact Wrestling,Raven vs. Larry Zbyszko,09/2005 , 07/2006,3.62,Raven,Cassidy Riley,Larry Zbyszko,Sean Waltman
World Wrestling Entertainment,"Verklagt, verletzt, versandet: Batista vs. Mark Henry",12/2005 , 07/2006,3.56,Batista,Rey Mysterio,Mark Henry,Melina
World Wrestling Entertainment,Die Rache des Knackis: Big Boss Man vs. Nailz,05/1992 , 11/1992,3.55,The Big Boss Man,Nailz,World Wrestling Federation,Summary
World Championship Wrestling,Der Dungeon Of Doom gegen Hulkamania,07/1995 , 03/1996,3.51,Comments,Hulk Hogan,Randy Savage,Sting
Impact Wrestling,Die Hochzeit seines besten Freundes: Lethal vs. Dutt,03/2008 , 10/2008,3.5,Jay Lethal,Sonjay Dutt,SoCal Val,Total Nonstop Action Wrestling
World Wrestling Entertainment,Kinder der Evolution: Batista vs. Orton,11/2008 , 09/2009,3.5,Comments,Batista,Ric Flair,Randy Orton
World Wrestling Entertainment,Auf den Hund gekommen: Al Snow vs. The Big Bossman,07/1999 , 10/1999,3.5,Al Snow,The British Bulldog,The Big Bossman,World Wrestling Federation
World Wrestling Entertainment,Der Indianer will den Goldschatz: Tatanka vs. Michaels,02/1993 , 04/1993,3.44,Tatanka,Shawn Michaels,World Wrestling Federation,Notes
World Wrestling Entertainment,A Playmate For Champion - Trish vs. Christy,02/2005 , 04/2005,3.43,Lita,Trish Stratus,World Wrestling Entertainment,Summary
Impact Wrestling,Ihr Kiefer ist verdrahtet: Booker vs. Roode,11/2007 , 04/2008,3.43,Comments,Booker T,Sharmell,Traci Brooks
World Wrestling Entertainment,Undertaker vs. Great Khali,04/2006 , 08/2006,3.42,The Undertaker,The Great Khali,Daivari,The Big Show
Impact Wrestling,Der Drei-Wochen-Krieg: Lashley vs. Joe,09/2009 , 10/2009,3.4,Samoa Joe,Total Nonstop Action Wrestling,Summary,(?)
World Wrestling Entertainment,Der Prügelknabe beweist sich: Delaney vs. Estrada,03/2008 , 06/2008,3.39,Tommy Dreamer,Armando Estrada,Mike Knox,World Wrestling Entertainment
World Wrestling Entertainment,Kelly's got Balls: Mahoney vs. Miz,07/2007 , 11/2007,3.35,Kelly Kelly,The Miz,Layla,Brooke
Impact Wrestling,Zwei Legenden im Stellvertreter-Krieg: Team Hogan vs. Team Flair,01/2010 , 06/2010,3.33,Hulk Hogan,Abyss,Rob Van Dam,Jeff Hardy
World Wrestling Entertainment,Carlito vs. Masters,04/2006 , 01/2007,3.32,Carlito,Torrie Wilson,Chris Masters,World Wrestling Entertainment
World Wrestling Entertainment,Ein Schritt nach vorn für die Wahrheit: R-Truth vs. The Miz,05/2010 , 07/2010,3.3,The Miz,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Regals kurzes Königsglück,04/2008 , 05/2008,3.28,Mr. Kennedy,World Wrestling Entertainment,Summary,Notes
World Wrestling Entertainment,Bam Bams großer Auftritt,01/1995 , 04/1995,3.27,Lawrence Taylor,Bam Bam Bigelow,World Wrestling Federation,Summary
World Wrestling Entertainment,Die Doppelte Dosis für den Deadman,10/2002 , 08/2003,3.21,The Undertaker,Nathan Jones,Big Show,A-Train
World Wrestling Entertainment,John Cena als Riesentöter,04/2007 , 06/2007,3.21,John Cena,The Great Khali,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Auf den Spuren der Allied Powers: ShoMiz vs. Morrison & Truth,03/2010 , 04/2010,3.18,John Morrison,R-Truth,The Miz,The Big Show
World Wrestling Entertainment,"Ich sag dir, deine Mutter ist so dick...",01/2006 , 03/2006,3.16,Shelton Benjamin,Shelton's Momma,Ric Flair,World Wrestling Entertainment
World Wrestling Entertainment,Wolkenkratzer unter sich: Big Show vs. Khali,03/2008 , 04/2008,3.14,Comments,The Big Show,The Great Khali,World Wrestling Entertainment
World Championship Wrestling,Goldbergs zweite Streak,08/2000 , 01/2001,3.12,Dewayne Bruce,Vince Russo,Lex Luger,Buff Bagwell
World Wrestling Entertainment,Geknickter Missionar: CM Punk vs. R-Truth & Matt Hardy,11/2009 , 01/2010,3.11,Comments,R-Truth,Matt Hardy,CM Punk
World Wrestling Entertainment,Der kleine Bruderkrieg: Hardy vs. Hardy 2001,11/2001 , 12/2001,3.07,Jeff Hardy,Lita,Matt Hardy,World Wrestling Federation
World Wrestling Entertainment,"Dreamer, Henry und der Untergang des Underdog",07/2008 , 08/2008,3.06,Tommy Dreamer,Mark Henry,Tony Atlas,Colin Delaney
World Wrestling Entertainment,Ein Zwilling kommt selten allein,08/2008 , 11/2008,3.04,Nikki Bella,Victoria,Natalya,World Wrestling Entertainment
World Wrestling Entertainment,Jäger der verlorenen Fackel: Cena vs. JBL II,04/2008 , 07/2008,3.03,Comments,John Cena,JTG,Shad
World Wrestling Entertainment,Verschwörung wider Willen: Undertaker vs. Punk,08/2009 , 10/2009,3.02,The Undertaker,CM Punk,Vince McMahon,Theodore Long
World Wrestling Entertainment,Zwei Eindringlinge auf Probezeit,05/2010 , 07/2010,3.0,Vance Archer,Montel Vontavious Porter,Christian,World Wrestling Entertainment
World Wrestling Entertainment,Litas unrühmlicher Abgang,11/2006 , 11/2006,2.97,Comments,Lita,Mickie James,World Wrestling Entertainment
World Wrestling Entertainment,The Stooges go Hardcore: Brisco vs. Patterson,04/2000 , 06/2000,2.93,Pat Patterson,Crash Holly,Crash,World Wrestling Federation
World Wrestling Entertainment,Carlito & Primo vs. The Kendrick & Ezekiel,11/2008 , 01/2009,2.92,Carlito,Primo,The Brian Kendrick,Ezekiel Jackson
World Wrestling Entertainment,"Neuer Reichtum, alter Virgil: R-Truth vs. DiBiase",04/2010 , 05/2010,2.92,Ted DiBiase,Virgil,Carlito,Primo
World Wrestling Entertainment,Der 19. Mai und der zweite Kane,04/2006 , 06/2006,2.91,Kane,The Big Show,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Juventud vs. Kid Kash,12/2005 , 01/2006,2.89,Juventud,Super Crazy,Kid Kash,World Wrestling Entertainment
World Wrestling Entertainment,Big Hungry wird weinerlich: Jericho vs. Ryback,06/2013 , 07/2013,2.87,Chris Jericho,Ryback,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Dynastiensprosse unter sich: Hart Dynasty vs. Usos,05/2010 , 09/2010,2.84,David Hart Smith,Tyson Kidd,Natalya,Jimmy Uso
World Wrestling Entertainment,Eugene der olympische Held,07/2005 , 08/2005,2.83,Eugene,Christy Hemme,World Wrestling Entertainment,Notes
World Wrestling Entertainment,Legenden sterben nicht: Hogan vs. Orton,07/2006 , 08/2006,2.77,Hulk Hogan,Jerry Lawler,Randy Orton,World Wrestling Entertainment
World Championship Wrestling,Der Aufstieg und Fall Berlyns,08/1999 , 10/1999,2.76,Berlyn,The Wall,Buff Bagwell,Jim Duggan
World Wrestling Entertainment,Streit um Eddies Erbe: Rey vs. Chavo 2006/07,07/2006 , 09/2007,2.73,Rey Mysterio,Chavo Guerrero,Vickie Guerrero,World Wrestling Entertainment
World Wrestling Entertainment,Bunnymania oder: Der Playboy als Emanzipations-Hilfe,01/2008 , 03/2008,2.73,Comments,Maria,Candice Michelle,Ashley
World Wrestling Entertainment,Von Riesen und Glasscherben: Triple H vs. Great Khali,07/2008 , 09/2008,2.69,Triple H,The Great Khali,Ranjin Singh,World Wrestling Entertainment
World Wrestling Entertainment,McCool vs. Maryse,08/2008 , 12/2008,2.68,Michelle McCool,Maryse,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Hornswoggle - McMahons kleiner Satansbraten,09/2007 , 03/2008,2.67,Finlay,Vince McMahon,Jonathan Coachman,John Bradshaw Layfield
World Wrestling Entertainment,Undertaker vs. Giant Gonzalez,01/1993 , 08/1993,2.66,The Undertaker,Paul Bearer,Giant Gonzalez,Harvey Wippleman
World Wrestling Entertainment,Undertaker vs. Mark Henry,02/2006 , 04/2006,2.6,The Undertaker,Mark Henry,Daivari,World Wrestling Entertainment
World Wrestling Entertainment,It wasn't my Fault: Kane vs. Snitsky,09/2004 , 01/2005,2.57,Kane,Lita,Gene Snitsky,World Wrestling Entertainment
World Wrestling Entertainment,Ein Cheerleader geht neue Wege: Flair vs. Dykstra,12/2006 , 01/2007,2.5,Ric Flair,Kenny Dykstra,Kenny,World Wrestling Entertainment
World Wrestling Entertainment,Eine neue Legion: LOD vs. MNM,07/2005 , 10/2005,2.43,Road Warrior Animal,Heidenreich,Christy Hemme,Nitro
World Wrestling Entertainment,Salz und Feuer: Hulk Hogan vs. Yokozuna,04/1993 , 06/1993,2.33,Hulk Hogan,Yokozuna,Mr. Fuji,World Wrestling Federation
World Wrestling Entertainment,Vito entdeckt seine weibliche Seite,05/2006 , 06/2006,2.32,Nunzio,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Das Monster kann's nicht lassen: Undertaker vs. Kane 2000,08/2000 , 09/2000,2.23,The Undertaker,Kane,World Wrestling Federation,Summary
World Wrestling Entertainment,Rob Conway: Legend Killer Light,10/2005 , 11/2005,2.11,Tyson Tomko,Eugene,Jimmy Snuka,Jim Duggan
World Wrestling Entertainment,Diesmal endgültig: Der Abgesang des JBL,03/2009 , 04/2009,2.1,John Bradshaw Layfield,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Ist er tot oder lebendig? - Rey vs. Kane,07/2008 , 11/2008,2.09,Comments,Rey Mysterio,Batista,Evan Bourne
World Wrestling Entertainment,Sandman vs. Carlito,06/2007 , 07/2007,2.05,Comments,The Sandman,Jim Duggan,Carlito
World Wrestling Entertainment,Die Love Machine macht ernst: Big Daddy V vs. Boogeyman,07/2007 , 09/2007,1.95,Big Daddy V,Matt Striker,World Wrestling Entertainment,Summary
Impact Wrestling,Ein Maskenmann macht Jagd auf Styles: AJ Styles vs. Tomko,10/2009 , 01/2010,1.94,Tomko,Total Nonstop Action Wrestling,Summary,(?)
World Wrestling Entertainment,Bobby Lashley vs. Test,12/2006 , 01/2007,1.92,Bobby Lashley,Test,Rob Van Dam,World Wrestling Entertainment
World Wrestling Entertainment,Archaische Triebe: Mysterio vs. Knox,11/2008 , 03/2009,1.91,Rey Mysterio,Mike Knox,World Wrestling Entertainment,Summary
World Championship Wrestling,Booker T vs. Harlem Heat 2000,12/1999 , 03/2000,1.88,Booker T,Booker,Midnight,Billy Kidman
Impact Wrestling,Auf die alten Zeiten: Eric Young vs. The Band,02/2010 , 04/2010,1.88,Scott Hall,Syxx-Pac,Kevin Nash,Total Nonstop Action Wrestling
World Wrestling Entertainment,"Punk, Big Show und Risse in der Society",06/2010 , 09/2010,1.88,Comments,CM Punk,Serena,Joseph Mercury
Impact Wrestling,Dustins neue Persönlichkeitsstörung,07/2007 , 09/2007,1.76,Black Reign,Chris Harris,Total Nonstop Action Wrestling,Summary
Impact Wrestling,Der Deaner auf Kaufmans Spuren,07/2009 , 09/2009,1.75,Cody Deaner,Angelina Love,Velvet Sky,Madison Rayne
Impact Wrestling,All Hail The Kings Of Wrestling,09/2004 , 01/2005,1.71,Comments,Jeff Jarrett,Kevin Nash,Scott Hall
World Wrestling Entertainment,Santinos kurzlebiges Wunder von Mailand,04/2007 , 07/2007,1.49,Maria,Umaga,World Wrestling Entertainment,Summary
World Championship Wrestling,"Hogan, Team Package und das Yapapi",02/2000 , 03/2000,1.33,Comments,Hulk Hogan,Jimmy Hart,The Total Package
Impact Wrestling,Frauen an die Macht: VKM vs. Christy,01/2007 , 07/2007,1.32,Kip James,BG James,Roxxi Laveaux,Christy Hemme
World Wrestling Entertainment,My Time: JTG vs. Shad Gaspard,04/2010 , 05/2010,1.25,Shad Gaspard,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,Wer hat mein Muttermal gegessen?  Boogeyman vs. JBL,12/2005 , 01/2006,1.2,John Bradshaw Layfield,Jillian Hall,World Wrestling Entertainment,Summary
World Wrestling Entertainment,I'm special! Eugenes böse Seite,11/2006 , 01/2007,1.1,Jim Duggan,Val Venis,World Wrestling Entertainment,Summary
World Championship Wrestling,Stacys süßes Geheimnis,09/2000 , 10/2000,1.0,Stacy Keibler,Buff Bagwell,MI Smooth,World Championship Wrestling
World Wrestling Entertainment,Das große Chaos um JR,10/2005 , 11/2005,0.95,Jim Ross,Batista,Vince McMahon,Stephanie McMahon
World Wrestling Entertainment,"Glückwunsch, es ist ein eine Hand?!?",01/2000 , 02/2000,0.74,Mae Young,Hardcore Holly,Crash Holly,Viscera
World Championship Wrestling,Hogan vs. Warrior Reloaded,08/1998 , 10/1998,0.72,Comments,The Warrior,The Disciple,Hollywood Hogan
World Wrestling Entertainment,Ashley vs. Melina,02/2007 , 04/2007,0.72,Melina,World Wrestling Entertainment,Notes,(?)
World Wrestling Entertainment,Immer Ärger mit dem Knirps: Hornswoggle vs. Chavo,07/2009 , 12/2009,0.63,Mark Henry,Evan Bourne,Santino Marella,Chavo Guerrero
World Wrestling Entertainment,King Mabel greift nach dem Gold,06/1995 , 08/1995,0.58,Diesel,King Mabel,Sir Mo,World Wrestling Federation
World Wrestling Entertainment,Eine Schweinerei zum Abschied: Santina vs. Vickie,05/2009 , 06/2009,0.52,Santino Marella,Vickie Guerrero,Chavo Guerrero,William Regal
World Wrestling Entertainment,Ein People's Champion wird zum Stalker: Undertaker vs. DDP,05/2001 , 08/2001,0.52,Comments,The Undertaker,Kane,Sara
Impact Wrestling,Die Saga des Team Pacman,08/2007 , 10/2007,0.48,Ron Killings,Rasheed Lucius Creed,Kurt Angle,Sting
Impact Wrestling,Die Rückkehr der Alt-Chaoten: Team 3D vs. Nasty Boys,01/2010 , 03/2010,0.47,Brother Devon,Jesse Neal,Brother Runt,Jerry Sags
Impact Wrestling,Bruce wird Miss TNA,07/2002 , 11/2002,0.35,April,Taylor Vaughn,April Hunter,Hermie Sadler
World Wrestling Entertainment,Die traurige Geschichte von Katie Vick,10/2002 , 11/2002,0.31,Kane,The Hurricane,Triple H,Ric Flair
